COD;Agrega Valor;Horário Inicial;Horário final;TEMPO;TEMPO (MIN);TEMPO(ROT);Qtd peças conformes;Qtd peças não conformes;Observações;Data;Turno
192;N;7:00;8:00;1:00:00;60;#N/A;;;;22/01/2020;T1
2047860;S;8:00;10:00;2:00:00;120;47;1;;;22/01/2020;T1
2008164;S;10:00;11:30;1:30:00;90;42;8;2;;22/01/2020;T1
180;N;11:30;12:40;1:10:00;70;#N/A;;;;22/01/2020;T1
192;N;12:40;14:00;1:20:00;80;#N/A;;;;22/01/2020;T1
2047860;S;14:00;15:00;1:00:00;60;47;1;;;22/01/2020;T1
192;N;15:00;16:00;1:00:00;60;#N/A;;;;22/01/2020;T1
2047860;S;16:00;17:00;1:00:00;60;47;1;;;22/01/2020;T1
192;N;17:05;18:29;1:24:00;84;#N/A;;;;22/01/2020;T2
2047860;S;18:30;19:11;0:41:00;41;47;1;;;22/01/2020;T2
181;N;19:12;20:30;1:18:00;78;#N/A;;;;22/01/2020;T2
2050430;S;21:54;22:15;0:21:00;21;12;1;;;22/01/2020;T2
201;N;22:15;23:56;1:41:00;101;#N/A;;;;22/01/2020;T2
192;N;23:57;0:14;0:17:00;17;#N/A;;;;22/01/2020;T2
2050430;S;0:14;0:32;0:18:00;18;12;1;;;22/01/2020;T2
192;N;0:32;1:21;0:49:00;49;#N/A;;;;22/01/2020;T2
2047860;S;1:21;2:10;0:49:00;49;47;1;;;22/01/2020;T2
2008164;S;7:00;8:30;1:30:00;90;42;8;;;23/01/2020;T1
192;N;8:50;9:00;0:10:00;10;#N/A;;;;23/01/2020;T1
2050430;S;9:00;9:25;0:25:00;25;12;1;;;23/01/2020;T1
201;N;9:25;10:00;0:35:00;35;#N/A;;;;23/01/2020;T1
2008164;S;10:00;11:15;1:15:00;75;42;8;;;23/01/2020;T1
2050430;S;11:15;11:30;0:15:00;15;12;1;;;23/01/2020;T1
192;N;11:30;11:50;0:20:00;20;#N/A;;;;23/01/2020;T1
180;N;11:50;13:00;1:10:00;70;#N/A;;;;23/01/2020;T1
